"Table","Planned","Available","Comparable","Missing","Excluded","Replicates_per_available_cell","Discrepant"
"1",12,10,10,2,0,"100000",3
"2",36,26,26,10,0,"100000",4
"3",72,72,72,0,0,"10000",72
