"table","distribution","heterogeneity","test","log_time_shift","task_id","paper_value","paper_printed_value","paper_n_sim","paper_page","z_low","z_high","n_sim","treatment_time_multiplier","empirical_rejection","monte_carlo_se","mean_z","sd_z","mean_completed_events","generator_version","input_file","available","variance_method","design_eligible","estimate","local_mc_se","paper_mc_se","difference","combined_mc_se","comparison_margin","comparison","rejection_ci_low","rejection_ci_high","nominal_p","nominal_p_holm"
"table2","lognormal","medium","gehan_breslow",0,43,0.025,25,100000,94,0.1,1.9,100000,1,0.02571,0.00050048971917513,-0.00142343292014123,1.00169208725957,2.04162755,"legacy_unversioned","zhao-2020-table-simulations-task-043-of-120.rds",TRUE,"pooled_risk",TRUE,0.02571,0.00050048971917513,0.000493710441453288,0.000709999999999999,0.000703022018858585,0.00187789783730146,"compatible",0.0247471267933768,0.0267093111169572,0.150401652304007,1
"table2","loglogistic","medium","gehan_breslow",0,44,0.025,25,100000,94,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.000493710441453288,,,,"missing",,,,
"table2","exponential","high","gehan_breslow",0,45,0.025,25,100000,94,0.01,1.99,100000,1,0.02488,0.000492554419328464,-0.00022400614960632,1.00538732063185,4.40421605,"legacy_unversioned","zhao-2020-table-simulations-task-045-of-120.rds",TRUE,"pooled_risk",TRUE,0.02488,0.000492554419328464,0.000493710441453288,-0.000120000000000002,0.000697395050168841,0.00186686918132743,"compatible",0.023932707952251,0.0258637937238499,0.81581830345571,1
"table2","weibull","high","gehan_breslow",0,46,0.024,24,100000,94,0.01,1.99,100000,1,0.02515,0.000495151264766637,-0.00273152781029904,1.00308019934709,4.6370205,"legacy_unversioned","zhao-2020-table-simulations-task-046-of-120.rds",TRUE,"pooled_risk",TRUE,0.02515,0.000495151264766637,0.000483983470792134,0.00115,0.000692397844450717,0.00185707483809657,"compatible",0.0241976090544498,0.0261388718785703,0.761256646807275,1
"table2","lognormal","high","gehan_breslow",0,47,0.025,25,100000,94,0.01,1.99,100000,1,0.02527,0.000496300585331108,0.000782469696145085,1.00177958233884,3.55459995,"legacy_unversioned","zhao-2020-table-simulations-task-047-of-120.rds",TRUE,"pooled_risk",TRUE,0.02527,0.000496300585331108,0.000493710441453288,0.000269999999999999,0.000700045906351862,0.00187206476397435,"compatible",0.02431535234451,0.0262611193693631,0.584450137512551,1
"table2","loglogistic","high","gehan_breslow",0,48,0.024,24,100000,94,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.000483983470792134,,,,"missing",,,,
"table3","exponential","low","logrank",0.25,49,0.212,0.212,10000,95,0.5,1.5,10000,1.28402541668774,0.3209,0.00466822439477795,-1.49077190447924,1.02842038322408,1.6080475,"legacy_unversioned","zhao-2020-table-simulations-task-049-of-120.rds",TRUE,"pooled_risk",TRUE,0.3209,0.00466822439477795,0.00408724846320847,0.1089,0.00620466912897054,0.0126609280287698,"discrepant",0.311820720775888,0.330116827440488,,
"table3","weibull","low","logrank",0.25,50,0.46,0.46,10000,95,0.5,1.5,10000,1.28402541668774,0.7437,0.00436589406651146,-2.67172400963116,1.08121530942826,1.480562,"legacy_unversioned","zhao-2020-table-simulations-task-050-of-120.rds",TRUE,"pooled_risk",TRUE,0.7437,0.00436589406651146,0.00498397431775085,0.2837,0.00662578531194605,0.0134863005807087,"discrepant",0.735050555773584,0.752162283420548,,
"table3","lognormal","low","logrank",0.25,51,0.62,0.62,10000,95,0.5,1.5,10000,1.28402541668774,0.7083,0.00454544948272445,-2.55506447714247,1.06173614475005,1.0866045,"legacy_unversioned","zhao-2020-table-simulations-task-051-of-120.rds",TRUE,"pooled_risk",TRUE,0.7083,0.00454544948272445,0.00485386443980464,0.0883,0.00664989556308969,0.0135335558046085,"discrepant",0.699312447394385,0.717127578884391,,
"table3","loglogistic","low","logrank",0.25,52,0.325,0.325,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.0046837484987988,,,,"missing",,,,
